codicefiscale,codicetessera,ente,saldo,puntimensili,datainaut
252-38-1779,453000,oxrlkwpddgv,1,46,9/2/2022
762-66-0992,454000,hvhfsjvblyg,58,31,22/5/2020
742-26-4208,455000,kxhnibzddbd,34,44,3/11/2021
593-04-3380,456000,ousfgficdlv,31,49,20/4/2020
519-01-6332,457000,zobrbvjzyzt,31,46,19/4/2022
269-30-3864,458000,yigjptqvmjt,6,41,27/2/2020
814-97-8336,459000,inqxuxzwtjp,3,43,23/8/2021
859-84-7203,460000,rndedxhaxmo,19,49,4/5/2020
413-75-6052,461000,neyhgmjhmvx,18,52,13/12/2021
754-52-9836,462000,isbpxtiswyg,22,45,14/11/2020
295-72-2013,463000,zgagpuyoxxz,60,40,6/12/2021
716-23-0436,464000,umtqdnmeobj,11,43,24/2/2022
843-13-2896,465000,otyvbfjimjq,20,33,24/2/2020
712-51-2958,466000,cvxiohdapbh,40,54,27/11/2020
861-58-4085,467000,dbserzsrzle,19,59,4/2/2021
895-17-8385,468000,kvyfbedpkrn,56,46,4/3/2022
296-71-6970,469000,nziiqkxtdps,42,59,22/12/2021
491-76-0722,470000,cnebxkddeuh,17,35,2/12/2021
135-88-8818,471000,pizjatdbklp,30,58,29/7/2022
663-24-1678,472000,rljxbkjxmsy,48,34,27/6/2021
543-75-0738,473000,tbtkbvcrabc,58,55,17/3/2021
806-52-9577,474000,uoccoklhetz,30,60,8/4/2022
335-33-4852,475000,tnzobvwpkxc,26,34,31/7/2020
863-26-8865,476000,emlatjzlwez,40,49,19/5/2022
804-67-4372,477000,tfvvogefnyi,32,43,3/7/2022
698-99-5042,478000,pkctszscvpj,42,39,27/5/2022
312-08-7053,479000,hxigalpfhsc,23,41,20/6/2020
516-55-8231,480000,wpmjqhpnbbf,59,57,1/6/2020
194-86-8372,481000,rlnxwqyuepi,22,55,14/3/2021
646-95-4880,482000,eitzibxswan,55,54,30/9/2020
753-67-3964,483000,pofmlafyzet,43,56,15/12/2020
347-61-6374,484000,gtriggrxiod,3,50,18/2/2022
283-43-0895,485000,zucirdeniyi,17,60,29/7/2022
261-03-9792,486000,phhzntkabqv,37,56,20/10/2021
328-72-6247,487000,sqqurxszwdn,17,42,3/5/2022
700-36-1910,488000,msgcrpbevua,33,55,16/3/2021
852-68-3731,489000,bvwkqramiyd,56,37,11/1/2022
318-60-2273,490000,zhxozpsykby,31,35,3/6/2021
263-84-8915,491000,rnhfkdmksjb,11,51,18/7/2020
369-60-7621,492000,fumevkoipwb,37,36,1/4/2020
659-19-9414,493000,omupwpewjnt,31,50,6/6/2022
141-48-7688,494000,jlnawwdhuof,1,56,19/5/2022
389-53-3606,495000,txphjchrwob,34,34,30/10/2020
395-77-3934,496000,yvjodirtqxq,26,58,28/2/2021
302-67-2366,497000,gdmrjfnilsd,18,31,20/11/2020
857-95-9739,498000,trxmijzbbub,38,39,31/5/2021
580-05-5713,499000,eacahpqqykp,24,57,15/8/2020
440-09-9098,500000,nwnwqumzgza,24,31,25/12/2020
